Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Rønnekredsen;7. Klemensker;Ja;569;41,3
Rønnekredsen;7. Klemensker;Nej;809;58,7
Rønnekredsen;8. Rønne;Ja;3658;48,6
Rønnekredsen;8. Rønne;Nej;3863;51,4
Rønnekredsen;9. Hasle;Ja;709;42,8
Rønnekredsen;9. Hasle;Nej;949;57,2
Aakirkebykredsen;0. Christiansø;Ja;20;38,5
Aakirkebykredsen;0. Christiansø;Nej;32;61,5
Aakirkebykredsen;1. Allinge;Ja;850;44,0
Aakirkebykredsen;1. Allinge;Nej;1084;56,0
Aakirkebykredsen;2. Østermarie;Ja;726;44,1
Aakirkebykredsen;2. Østermarie;Nej;919;55,9
Aakirkebykredsen;3. Svaneke;Ja;675;52,7
Aakirkebykredsen;3. Svaneke;Nej;607;47,3
Aakirkebykredsen;4. Nexø;Ja;1022;43,9
Aakirkebykredsen;4. Nexø;Nej;1308;56,1
Aakirkebykredsen;5. Pedersker;Ja;402;41,5
Aakirkebykredsen;5. Pedersker;Nej;566;58,5
Aakirkebykredsen;6. Aakirkeby;Ja;1307;44,4
Aakirkebykredsen;6. Aakirkeby;Nej;1634;55,6
